condition,scale,subject,epoch,accuracy,auc,fmeasure
both_train_test,0.1,1,43,0.6336805555555556,0.8715117026748972,0.6107125597506213
both_train_test,0.1,2,34,0.3263888888888889,0.603342817644033,0.2994689234201238
both_train_test,0.1,3,51,0.703125,0.9217705118312757,0.7012578517594481
both_train_test,0.1,4,24,0.4010416666666667,0.7054157021604938,0.37302359167319243
both_train_test,0.1,5,15,0.2465277777777778,0.4876221707818929,0.10242409199966906
both_train_test,0.1,6,17,0.3576388888888889,0.655446244855967,0.34770715133783553
both_train_test,0.1,7,31,0.3506944444444444,0.661450295781893,0.33660144543659726
both_train_test,0.1,8,26,0.6840277777777778,0.8990282600308642,0.678681629548125
both_train_test,0.1,9,39,0.609375,0.8538612397119342,0.6069921859643002
both_train_test,0.2,1,47,0.6128472222222222,0.8870482896090536,0.5990799202477671
both_train_test,0.2,2,28,0.3472222222222222,0.6277126736111112,0.32706415512419157
both_train_test,0.2,3,27,0.7048611111111112,0.9094851144547326,0.7003218683311679
both_train_test,0.2,4,25,0.4027777777777778,0.6893888245884773,0.3987456253030357
both_train_test,0.2,5,15,0.25,0.5321863747427983,0.1
both_train_test,0.2,6,16,0.2934027777777778,0.6004734117798354,0.2889569998165678
both_train_test,0.2,7,32,0.3732638888888889,0.6435908564814814,0.3466822503928041
both_train_test,0.2,8,54,0.6996527777777778,0.9089144483024693,0.6902834585165436
both_train_test,0.2,9,19,0.4375,0.774707433127572,0.40793482921845603
both_train_test,0.3,1,,0.625,0.8669785236625515,0.6104666084617684
both_train_test,0.3,2,24,0.296875,0.6238948366769548,0.2339496084439905
both_train_test,0.3,3,43,0.6979166666666666,0.917088638117284,0.7002632995065347
both_train_test,0.3,4,24,0.4131944444444444,0.6857799639917697,0.37458309266056755
both_train_test,0.3,5,15,0.25,0.49216338734567894,0.1
both_train_test,0.3,6,16,0.2795138888888889,0.613964441872428,0.23391663873888946
both_train_test,0.3,7,18,0.2934027777777778,0.6214755336934156,0.2218356260707685
both_train_test,0.3,8,,0.6649305555555556,0.9024803883744855,0.6583697506373027
both_train_test,0.3,9,40,0.6284722222222222,0.8552075295781894,0.6278146364393336
both_train_test,0.4,1,,0.6388888888888888,0.869530446244856,0.603925337419481
both_train_test,0.4,2,33,0.3107638888888889,0.5860178755144033,0.30317965736802016
both_train_test,0.4,3,54,0.6805555555555556,0.914014274691358,0.6773054051184028
both_train_test,0.4,4,25,0.3854166666666667,0.6943560313786009,0.3235390177020405
both_train_test,0.4,5,15,0.2534722222222222,0.5143188978909464,0.112987012987013
both_train_test,0.4,6,17,0.3038194444444444,0.6319806134259259,0.26722025482682055
both_train_test,0.4,7,42,0.3506944444444444,0.6533524627057613,0.32010275760444024
both_train_test,0.4,8,47,0.6597222222222222,0.8912197788065842,0.6474831445977797
both_train_test,0.4,9,31,0.5954861111111112,0.8408805941358025,0.5998182778805802
train_only,0.1,1,25,0.6163194444444444,0.846535011574074,0.6056698078965097
train_only,0.1,2,21,0.3177083333333333,0.5907560120884773,0.2806826351083722
train_only,0.1,3,37,0.6892361111111112,0.8994341563786009,0.6879559282000086
train_only,0.1,4,17,0.3732638888888889,0.6964940200617283,0.33084152002851663
train_only,0.1,5,15,0.2465277777777778,0.5328293788580246,0.10232625622672534
train_only,0.1,6,15,0.2569444444444444,0.5436639981995884,0.22003313357122556
train_only,0.1,7,20,0.3975694444444444,0.639134034207819,0.40316568870944913
