condition,mean_accuracy,mean_auc,mean_fmeasure
both_train_test,0.4656,0.7335499999999999,0.43147499999999994
train_only,0.4499,0.71305,0.41735
test_only,0.455075,0.7250999999999999,0.42047500000000004
