condition,bandwidth,frequency_count,frequencies,acc_mean,acc_std,auc_mean,auc_std,fmeasure_mean,fmeasure_std
both,4,3,16.288596313057464;25.670769359566975;28.04074175751871,0.4678497942386831,0.17337284556979116,0.7324328894223443,0.15281510120054168,0.4348057269490467,0.19743337979666448
both,6,3,16.288596313057464;25.670769359566975;28.04074175751871,0.4674639917695473,0.1788700614269339,0.728405927307194,0.15349716717570874,0.43110874976160113,0.21159852153834538
both,8,3,16.288596313057464;25.670769359566975;28.04074175751871,0.47042181069958855,0.17473624704698962,0.7335769753324571,0.14957129794907956,0.4373960872948891,0.20345965333535682
train,4,3,16.288596313057464;25.670769359566975;28.04074175751871,0.4444444444444444,0.15186706362631597,0.7150538426640376,0.13242505677190866,0.40908312127082236,0.17731500816927717
train,6,3,16.288596313057464;25.670769359566975;28.04074175751871,0.45286779835390945,0.16336083637338394,0.7129385526215516,0.13948295555072093,0.4218714026406325,0.19793279677574757
train,8,3,16.288596313057464;25.670769359566975;28.04074175751871,0.4486239711934157,0.16066386525767387,0.7115337672420363,0.13807454106909975,0.4201617104618455,0.18797339692185205
test,4,3,16.288596313057464;25.670769359566975;28.04074175751871,0.47151491769547327,0.16778677076233553,0.7367356586267336,0.14802756992581942,0.4328878219628265,0.19960461871268143
test,6,3,16.288596313057464;25.670769359566975;28.04074175751871,0.46109825102880664,0.16568785010250614,0.723701652639651,0.1480749267980948,0.42142452638853684,0.19916201383961243
test,8,3,16.288596313057464;25.670769359566975;28.04074175751871,0.46238425925925924,0.17938217604459775,0.7275735197807117,0.15440910948968253,0.4210747944483707,0.20821506530092346
