acc,auc,fmeasure,subject,n_csp_components,best_epoch
0.6336805555555556,0.9026210455246914,0.6245972435784977,1,4,17
0.3402777777777778,0.5935370048868313,0.32337429066139656,2,4,3
0.578125,0.8695264274691358,0.5367520418645292,3,4,25
0.4027777777777778,0.7036836098251028,0.39805665349143604,4,4,13
0.25,0.5539661297582305,0.1,5,4,1
0.3003472222222222,0.597732606738683,0.23494765034453852,6,4,1
0.3975694444444444,0.6768623006687243,0.36533278224953053,7,4,22
0.6822916666666666,0.9028460969650206,0.6718095530366964,8,4,27
0.3802083333333333,0.7897255979938272,0.3084369796869797,9,4,2
0.6458333333333334,0.8987429269547325,0.6255790541691023,1,6,32
0.3090277777777778,0.5882603523662552,0.2903189932665604,2,6,6
0.6753472222222222,0.9266171553497942,0.6659661036073217,3,6,22
0.4010416666666667,0.7224512924382717,0.399386739420869,4,6,9
0.25,0.5772609632201646,0.1,5,6,1
0.2725694444444444,0.6295452353395062,0.242686043300592,6,6,1
0.3784722222222222,0.6715776105967078,0.347604573316296,7,6,18
0.7100694444444444,0.9229038065843623,0.702319000894625,8,6,14
0.5381944444444444,0.8141959233539096,0.5372984153822906,9,6,5
0.5694444444444444,0.8934180491255144,0.5468672473172039,1,8,14
0.3333333333333333,0.6069476594650206,0.30265647987657746,2,8,5
0.5989583333333334,0.9271315586419752,0.5649973582610281,3,8,21
0.4357638888888889,0.7279931841563787,0.4235624230995667,4,8,10
0.25,0.5662294238683128,0.1,5,8,1
0.2708333333333333,0.6020849408436214,0.16869807839072481,6,8,1
0.3645833333333333,0.6852615419238682,0.30019264851763133,7,8,6
0.7256944444444444,0.9223090277777777,0.7249730440022653,8,8,17
0.5694444444444444,0.8502001350308643,0.5614763642341154,9,8,5
0.6336805555555556,0.9085045331790123,0.6008524269652038,1,12,19
0.3125,0.5863353587962963,0.26655855354835073,2,12,8
0.6475694444444444,0.9374799061213993,0.6251610247014,3,12,29
0.3923611111111111,0.7072462545010288,0.3480594831687116,4,12,6
0.25,0.5635127314814814,0.1063416176798869,5,12,1
0.2777777777777778,0.5828490708590534,0.2664758820314298,6,12,1
0.4010416666666667,0.6782688721707819,0.38906235301883574,7,12,11
0.7170138888888888,0.9262393904320986,0.7112402751839934,8,12,24
0.5625,0.8276708783436213,0.558418876193938,9,12,8
0.4982638888888889,0.8852237654320988,0.4315807371867103,1,16,13
0.24305555555555555,0.502588091563786,0.11797625693126418,2,16,1
0.65625,0.9090631430041153,0.6586740470860297,3,16,38
0.4270833333333333,0.7065851658950617,0.42908562182293836,4,16,13
0.2482638888888889,0.5098299254115227,0.09944367176634214,5,16,1
0.3159722222222222,0.6040139531893004,0.3090412830024366,6,16,1
0.3142361111111111,0.6150334362139918,0.280881599545629,7,16,4
0.6840277777777778,0.9106786908436213,0.671427700688512,8,16,19
0.5659722222222222,0.8382603523662552,0.5572567790592681,9,16,9
