subject,session,balanced_accuracy,std
4,0train,0.45809523809523806,0.039765468902136725
4,1test,0.48619047619047623,0.09354931278690665
7,0train,0.6235714285714286,0.06809024290702977
7,1test,0.6904761904761905,0.07082683043379147
6,0train,0.45690476190476187,0.04617697397155934
6,1test,0.4133333333333333,0.05114006377048213
2,0train,0.5211904761904762,0.06000944747994326
2,1test,0.3292857142857143,0.04656329659258633
5,0train,0.32476190476190475,0.04979208471916268
5,1test,0.3095238095238095,0.06429453202312434
1,0train,0.6366666666666666,0.03929220725564302
1,1test,0.5980952380952381,0.02316508828372436
3,0train,0.6480952380952381,0.04884493488990536
3,1test,0.6980952380952381,0.03228452027571586
8,0train,0.6838095238095238,0.06269007378743398
8,1test,0.6366666666666666,0.037656702071269546
9,0train,0.6159523809523809,0.07816126709227138
9,1test,0.768095238095238,0.03013010337273506
