subject,session_1,session_2,feature_distance,feature_correlation
4,0train,1test,0.8082614593751153,0.9824782716983211
7,0train,1test,1.9990183677767381,0.9952221460464342
6,0train,1test,1.7641209240462872,0.9977802478224327
2,0train,1test,8.112257820776605,0.14293574615030216
5,0train,1test,2.9764222614308973,0.12144576121185491
1,0train,1test,1.246010029981544,0.9391832167857744
3,0train,1test,1.6873418382245366,0.9356933221860293
8,0train,1test,1.3811070845253026,0.9760840808986105
9,0train,1test,0.6676306988183722,0.9982373296641994
