subject,group,n_trials,median_trial_ptp,median_trial_rms,trial_ptp_cv,bad_trial_fraction,flat_channels,noisy_channels,balanced_accuracy_mean,balanced_accuracy_std,feature_distance,feature_correlation,mean_within_class_consistency
1,reference,576,38.77821509705008,6.261263615240359,0.13178638479619537,0.003472222222222222,0,0,0.6774630541871922,0.028460401953614482,1.246010029981544,0.9391832167857744,0.008266304226576123
2,weak,576,43.41299622054831,6.707304880720711,0.3531795800260496,0.029513888888888888,0,0,0.395628078817734,0.031043888831834458,8.112257820776605,0.14293574615030216,0.0045139832451131946
3,reference,576,48.91146189400746,7.806556810666794,0.2565338466657754,0.012152777777777778,0,0,0.7254310344827586,0.035070099112776275,1.6873418382245366,0.9356933221860293,0.011075492257482741
4,weak,576,36.03326567856058,5.815860642648444,0.18476838060435363,0.010416666666666666,0,0,0.5331896551724139,0.02383362901282939,0.8082614593751153,0.9824782716983211,0.014717017499053003
5,weak,576,36.45546258573345,5.405292754710979,0.13344129169338595,0.0,0,0,0.3958128078817734,0.04443091357597607,2.9764222614308973,0.12144576121185491,0.022561334390013118
6,weak,576,55.36513620749209,8.681858203489249,0.21832877204967427,0.003472222222222222,0,0,0.49636699507389165,0.02164686950021657,1.7641209240462872,0.9977802478224327,0.010150439788126173
7,weak,576,36.36577007357475,5.762069392776687,0.14524346544480815,0.001736111111111111,0,0,0.6978448275862068,0.03301468957126076,1.9990183677767381,0.9952221460464342,0.01143361059333761
8,reference,576,59.80502661495781,9.586274045181556,0.1468351466261763,0.005208333333333333,0,0,0.7184729064039409,0.03315336354473544,1.3811070845253026,0.9760840808986105,0.0023913206714582837
9,reference,576,64.85974044026632,10.464774233205407,0.16542643804583776,0.0,0,0,0.6993842364532019,0.036782582766994455,0.6676306988183722,0.9982373296641994,0.007499431588436964
